comuna,barrio,sede
Comuna 7,Robledo,CVS Robledo – La Quintana (Cedezo La Quintana)
Comuna 7,Robledo,Biblioteca Tomás Carrasquilla Centro de Salud San Camilo
Comuna 7,Robledo,Estacion Metrocable 12 de Octubre (se trasladó de Casa de la Cultura Ávila)
Comuna 7,Robledo,Centro de Servicios Robledo Inspección 7 A
Comuna 7,Robledo,Cerro El Volador
Comuna 7,Robledo,Parque de Robledo
Comuna 7,Robledo,Parque La Pilarica
Comuna 7,Robledo,Ampliación Parque La Pilarica
Comuna 7,Robledo,Pista de patinaje La Quintana
Comuna 7,Robledo,Placa Polideportiva Romeral
Comuna 7,Robledo,Placa Polideportiva Don Bosco
Comuna 7,Robledo,Parque la Cruz
Comuna 7,Robledo,Cancha Pajarito
Comuna 8,Villa Hermosa,Desarrollo Integral Las Estancias
Comuna 8,Villa Hermosa,Ecoparque Esfuerzos de Paz – Las Tinajas
Comuna 8,Villa Hermosa,Ecoparque Campo Santo de Villatina
Comuna 8,Villa Hermosa,Centro de Salud Villatina
Comuna 8,Villa Hermosa,CVS Villa Hermosa (CEDEZO La Ladera)
Comuna 8,Villa Hermosa,Parque Principal Villa Hermosa
Comuna 8,Villa Hermosa,Centro de Salud Llanaditas
Comuna 8,Villa Hermosa,Plazoleta Estación Las Torres Metrocable (exterior)
Comuna 8,Villa Hermosa,Plazoleta Estación Villa Sierra Metrocable (exterior)
Comuna 8,Villa Hermosa,Parque la Batea del barrio Villatina
Comuna 8,Villa Hermosa,Placa Cubierta La Sierra
Comuna 8,Villa Hermosa,Plazoleta Trece de Noviembre
Comuna 8,Villa Hermosa,Plazoleta Colinas de Enciso parte alta
Comuna 8,Villa Hermosa,Cancha Polideportiva Sucre
Comuna 8,Villa Hermosa,Cancha Polideportiva la Libertad
Comuna 8,Villa Hermosa,Cancha La Mansión
Comuna 8,Villa Hermosa,Gimnasio La Mansión
Comuna 9,Buenos Aires,Parque La Milagrosa
Comuna 9,Buenos Aires,Unidad Deportiva Miraflores
Comuna 9,Buenos Aires,Unidad Deportiva Alejandro Echavarría
Comuna 9,Buenos Aires,Inspección 9B
Comuna 9,Buenos Aires,Estación Oriente Tranvía (interior)
Comuna 9,Buenos Aires,Parque Cerro El Cristo Salvador
Comuna 9,Buenos Aires,Parque Recreativo Barrios de Jesús
Comuna 9,Buenos Aires,Parque Caunces de Oriente
Comuna 9,Buenos Aires,Cancha Loreto (se traslada de Morro de Moravia)
Comuna 9,Buenos Aires,Cancha la Esmeralda (Loreto)
Comuna 9,Buenos Aires,Estación Metro Buenos Aires Tranvía – MTR (interior plataforma abordaje)
Comuna 9,Buenos Aires,Placa Polideportiva la Pastora
Comuna 9,Buenos Aires,Parque El Salvador
Comuna 9,Buenos Aires,Cerro La Asomadera
Comuna 9,Buenos Aires,El Hormiguero
Comuna 9,Buenos Aires,Cancha de futbol Caunces de Oriente
Comuna 10,La Candelaria,Centro de Integración Afrocolombiano
Comuna 10,La Candelaria,Concejo de Medellín (Recinto)
Comuna 10,La Candelaria,Banco de las oportunidades – Sótano Centro administrativo la Alpujarra / Parque Berrío
Comuna 10,La Candelaria,Parque Bicentenario
Comuna 10,La Candelaria,Parque Bolívar
Comuna 10,La Candelaria,Parque de Los Pies Descalzos
Comuna 10,La Candelaria,Parque San Antonio
Comuna 10,La Candelaria,Plazoleta de Cisneros (Parque de las Luces)
Comuna 10,La Candelaria,Plazoleta La Alpujarra (Centro Administrativo)
