Sedes,Autenticación_Correo,Autenticación_Facebook,Autenticación_Googleplus,Autenticación_Linkedin,Autenticación_Twitter,Rango_edad_desconocido,Rango_edad_De_14_a_17_Años,Rango_edad_De_18_a_28_Años,Rango_edad_De_29_a_50_Años,Rango_edad_Mayor_de_50_Años,Rango_edad_Menor_de_13_Años,Dispositivo_conexión_Computadora_personal,Dispositivo_conexión_Smartphone,Dispositivo_conexión_Tablet,Género_desconocido,Sexo_Femenino,Sexo_Masculino,Género_Otro,Mes,Año
Aeroparque Juan Pablo Segundo,6762,450,51,0,4,5554,183,924,543,53,10,124,6988,155,5320,835,1097,15,Julio,2018.0
Ampliación 1 Estación Caribe (Norte),6776,200,5,0,0,5402,137,884,511,36,11,242,6696,43,5352,693,915,21,Julio,2018.0
Ampliación 2 Estación Caribe (Sur),6044,225,20,0,2,5108,111,669,347,38,18,55,6204,32,5002,478,798,13,Julio,2018.0
Ampliación Estación Estadio,19760,768,17,0,5,16676,350,2126,1260,97,41,178,20265,107,16284,1626,2601,39,Julio,2018.0
Ampliación La Honda,9555,424,15,0,5,7886,313,1251,474,48,27,123,9791,85,7781,977,1216,25,Julio,2018.0
Ampliación Museo Cementerio San Pedro,1591,50,1,0,1,1324,36,185,91,7,0,22,1615,6,1308,151,181,3,Julio,2018.0
Ampliación Parque de la Pilarica,2832,104,4,0,0,2243,46,403,224,20,4,64,2859,17,2188,325,426,1,Julio,2018.0
Aula Ambiental La america,4672,324,9,3,12,3845,82,528,492,63,10,57,4914,49,3601,676,736,7,Julio,2018.0
Aula Ambiental Mi Rio,2609,103,3,0,1,2022,54,359,253,21,7,37,2669,10,1978,302,431,5,Julio,2018.0
Banco de las oportunidades,2513,77,1,0,2,1954,47,382,194,13,3,26,2558,9,1923,373,290,7,Julio,2018.0
Bello Oriente (Sector Palomar),8485,307,3,0,3,7142,289,915,351,77,24,101,8609,88,7153,742,893,10,Julio,2018.0
Bolera Unidad Deportiva Andres Escobar,2813,141,2,1,4,2370,60,329,179,16,7,51,2890,20,2300,252,405,4,Julio,2018.0
Cancha de Arena El Manzanillo,7496,377,45,0,1,6226,229,887,465,86,26,154,7715,50,6064,792,1047,16,Julio,2018.0
Casa de Gobierno Altavista,2177,63,4,0,0,1814,37,218,156,14,5,384,1844,16,1789,207,244,4,Julio,2018.0
Casa de Gobierno San Antonio De Prado,3379,130,19,0,1,2722,90,385,258,65,9,83,3430,16,2660,389,477,3,Julio,2018.0
Casa de Gobierno San Sebastián de Palmitas,1688,67,3,0,3,1323,31,183,211,12,1,98,1620,43,1281,144,329,7,Julio,2018.0
Casa de Gobierno Santa Elena,2955,167,0,0,1,2431,89,294,276,22,11,94,3009,20,2364,379,373,7,Julio,2018.0
CASA DE JUSTICIA 20 DE JULIO,11592,478,12,0,5,9482,319,1393,792,63,38,313,11626,148,9347,1181,1542,17,Julio,2018.0
Casa de Justicia Villa Del Socorro,8788,609,13,0,6,7224,222,1298,566,85,21,184,9176,56,6853,1180,1373,10,Julio,2018.0
Casa de la cultura Ávila,1552,69,1,0,0,1223,32,220,132,11,4,22,1587,13,1187,191,243,1,Julio,2018.0
Casa de la Cultura Los Alcázares,3045,120,12,0,1,2487,96,333,237,20,5,168,2896,114,2459,322,394,3,Julio,2018.0
Casa de la Cultura Pedregal,3210,134,3,0,2,2595,109,414,200,16,15,39,3288,22,2583,321,439,6,Julio,2018.0
Casa de la Cultura y de música el Poblado,3825,189,6,0,0,3204,66,402,326,16,6,103,3892,25,3069,296,650,5,Julio,2018.0
Casa de la Justicia de Robledo,3621,266,2,0,3,3028,70,513,231,43,7,75,3801,16,2841,372,672,7,Julio,2018.0
CAV Belencito,6480,311,10,0,5,5363,110,777,496,48,12,114,6660,32,5178,772,844,12,Julio,2018.0
CAV Caunces,3615,129,2,0,2,2817,71,461,364,23,12,111,3605,32,2771,500,473,4,Julio,2018.0
CAV La América,5517,361,16,0,12,4155,142,767,779,42,21,515,5359,32,3947,839,1064,56,Julio,2018.0
CAV Palermo,3455,136,33,0,1,2727,61,485,299,49,4,67,3541,17,2649,471,499,6,Julio,2018.0
CEDEZO Belén,3083,128,4,0,3,2496,67,375,232,37,11,72,3133,13,2438,338,438,4,Julio,2018.0
CEDEZO La Quintana,2512,168,5,0,1,2095,65,353,161,8,4,53,2614,19,1995,291,391,9,Julio,2018.0
CEDEZO Ladera,2444,151,5,0,21,2049,47,313,192,13,7,26,2584,11,1951,246,421,3,Julio,2018.0
CEDEZO Manrique,4921,459,9,0,1,4246,119,626,357,22,20,132,5237,21,3927,767,685,11,Julio,2018.0
Cedezo San Antonio de Prado,989,73,0,0,1,820,46,125,65,5,2,18,1037,8,795,122,144,2,Julio,2018.0
CEDEZO San Cristóbal,3047,121,3,0,2,2496,145,281,225,19,7,37,3083,53,2528,296,343,6,Julio,2018.0
CEDEZO San Javier,4633,302,4,0,1,3868,120,548,366,31,7,131,4735,74,3701,461,769,9,Julio,2018.0
CEDEZO Santo Domingo,6649,582,8,0,2,5635,226,859,408,44,69,170,7000,71,5352,685,1181,23,Julio,2018.0
Centralidad Deportiva El Progreso #2,9857,658,4,0,6,8133,333,1296,656,68,39,139,10323,63,7847,974,1693,11,Julio,2018.0
Centralidad El Pesebre,4458,180,5,0,2,3439,215,671,262,37,21,60,4544,41,3486,412,739,8,Julio,2018.0
Centro Cultural de Moravia,10000,497,9,0,6,8029,345,1329,653,67,89,137,10212,163,7956,1107,1428,21,Julio,2018.0
Centro Cultural Los Colores,1007,54,4,0,1,869,14,110,51,21,1,31,1030,5,831,95,137,3,Julio,2018.0
Centro de Integración AfroColombiana,6727,331,15,0,2,5158,271,962,605,59,20,813,6169,93,5109,724,1213,29,Julio,2018.0
Centro de Salud Alfonso López,2734,144,2,0,0,2266,87,307,162,51,7,45,2827,8,2221,300,348,11,Julio,2018.0
Centro de Salud Belen Rincon,3252,240,5,0,3,2813,106,325,233,14,9,36,3444,20,2684,317,493,6,Julio,2018.0
Centro de Salud El Raizal,3830,154,3,0,1,3111,86,468,297,19,7,49,3834,105,3052,474,457,5,Julio,2018.0
Centro de salud Guayabal,2630,91,3,0,1,2068,50,297,284,25,1,22,2691,12,2029,219,474,3,Julio,2018.0
Centro de Salud La Esperanza,5872,304,2,0,2,5028,157,679,266,32,18,56,6069,55,4900,559,717,4,Julio,2018.0
Centro de salud Llanaditas,2137,114,2,0,0,1772,49,236,136,51,9,26,2220,7,1713,238,300,2,Julio,2018.0
Centro de Salud Manantial de Vida,7045,348,6,0,2,5583,333,937,443,46,59,119,7213,69,5630,832,928,11,Julio,2018.0
Centro de Salud Pablo Sexto,3191,121,3,0,0,2622,64,414,196,11,8,33,3184,98,2568,338,407,2,Julio,2018.0
Centro de Salud San Camilo,2320,206,3,0,28,1904,50,284,299,16,4,23,2517,17,1692,524,336,5,Julio,2018.0
Centro de Salud SAN LORENZO,3780,188,3,0,1,3149,130,422,231,30,10,43,3855,74,3102,427,437,6,Julio,2018.0
Centro de Salud Santa Rosa de Lima,1996,76,5,0,0,1611,62,229,156,14,5,27,2041,9,1602,234,239,2,Julio,2018.0
Centro de Salud Villa Laura,1856,72,1,0,0,1407,40,260,187,31,4,31,1892,6,1380,322,224,3,Julio,2018.0
Centro de Salud Villatina,3486,116,7,0,1,2758,85,549,186,22,10,52,3531,27,2728,338,543,1,Julio,2018.0
CENTRO DE SERVICIOS AL CIUDADANO- CAM,10489,339,8,0,1,7894,166,1574,1085,101,17,308,10477,52,7733,1594,1493,17,Julio,2018.0
Centro de Servicios el Estadio,3055,146,4,0,0,2416,72,443,232,27,15,62,3126,17,2354,341,504,6,Julio,2018.0
Centro de Servicios Robledo,1919,143,67,0,2,1607,56,241,212,11,4,27,2088,16,1521,278,329,3,Julio,2018.0
Centro de servicios San Cristobal,2195,83,2,0,1,1657,49,277,278,15,5,74,2197,10,1626,309,339,7,Julio,2018.0
Centro Integración Comuna 11,1333,85,0,1,1,1094,21,183,106,10,6,51,1364,5,1034,128,255,3,Julio,2018.0
Cerro el Volador,3140,114,3,0,3,2517,111,317,285,24,6,28,3194,38,2521,217,517,5,Julio,2018.0
Cerro Nutibara (Pueblito Paisa),1896,69,4,0,0,1429,52,273,172,35,8,31,1915,23,1418,225,325,1,Julio,2018.0
Coliseo Carlos Mauro Hoyos,5319,385,9,0,3,4314,136,778,451,27,10,58,5617,41,4069,551,1087,9,Julio,2018.0
Coliseo De Combate,11970,683,24,0,10,9720,371,1685,785,103,23,190,12389,108,9399,1161,2079,48,Julio,2018.0
Coliseo De Gimnasia,7480,366,33,0,3,5771,218,897,861,99,36,237,7577,68,5630,1008,1201,43,Julio,2018.0
Coliseo Ivan De Bedout,8677,386,6,1,1,6869,292,1190,631,62,27,105,8911,55,6805,978,1253,35,Julio,2018.0
Coliseo Voleibol Yesid Santos,5429,286,40,0,1,4319,251,708,421,36,21,100,5623,33,4288,638,819,11,Julio,2018.0
Concejo de Medellín (recinto),2732,147,3,0,1,2190,44,376,237,32,4,39,2820,24,2086,337,457,3,Julio,2018.0
Corregiduría El Limonar,1515,36,0,0,0,1124,81,124,162,56,4,50,1490,11,1172,126,249,4,Julio,2018.0
Desarrollo Integral Belen Rincon,8858,225,2,0,3,7096,359,942,609,57,25,115,8917,56,7243,737,1063,45,Julio,2018.0
Desarrollo integral Belén Zafra,6361,243,21,0,3,5076,277,835,390,31,19,147,6426,55,5118,523,975,12,Julio,2018.0
Desarrollo integral las estancias,10709,582,4,0,12,8690,423,1374,698,71,51,136,11101,70,8576,1044,1657,30,Julio,2018.0
Diamante De Beisbol,3442,140,1,0,5,2657,93,385,325,115,13,107,3460,21,2622,309,649,8,Julio,2018.0
Ecoparque Campo Santo,5557,460,2,1,1,5052,112,534,285,17,21,60,5887,74,4722,488,802,9,Julio,2018.0
Ecoparque Esfuerzos de Paz - Las Tinajas,12141,569,10,0,3,10341,386,1270,597,99,30,171,12434,118,10184,1005,1511,23,Julio,2018.0
"Escaleras eléctricas comuna 13 (Tramos 1,2 y 3)",3739,160,15,0,5,3211,137,393,152,20,6,42,3855,22,3193,310,414,2,Julio,2018.0
"Escaleras eléctricas comuna 13 (Tramos 4, 5 y 6)",4069,162,4,0,3,3381,95,481,239,34,8,42,4179,17,3325,366,535,12,Julio,2018.0
Escaleras eléctricas comuna 13 (Viaducto),6015,425,3,0,2,5005,190,849,346,31,24,96,6311,38,4782,687,953,23,Julio,2018.0
Espacio Publico Registraduria,8551,342,6,0,7,6832,250,1038,651,116,19,146,8707,53,6750,912,1234,10,Julio,2018.0
Estación Acevedo,9898,270,9,0,2,8367,175,924,659,41,13,106,10035,38,8280,799,1092,8,Julio,2018.0
Estación Caribe (Parque),9444,351,9,0,4,7510,295,1241,594,49,119,350,9392,66,7559,866,1356,27,Julio,2018.0
Estación Estadio,10690,441,13,1,4,8910,228,1208,696,81,26,137,10948,64,8724,925,1481,19,Julio,2018.0
Estación Gardel,14074,504,12,0,6,11824,255,1435,972,91,19,136,14385,75,11586,1180,1802,28,Julio,2018.0
Estación Hospital,13349,353,12,0,3,11730,168,1189,560,56,14,80,13593,44,11548,864,1287,18,Julio,2018.0
Estación Industriales A,7919,256,19,0,3,6474,123,863,664,62,11,75,8065,57,6354,654,1170,19,Julio,2018.0
Estación Industriales L1,7926,171,9,0,2,7107,81,623,268,25,4,46,8032,30,7015,475,607,11,Julio,2018.0
Estación La Aurora,10487,590,25,0,3,8769,321,1245,659,70,41,108,10869,128,8547,967,1572,19,Julio,2018.0
Estación Las Torres,7888,406,5,1,3,6618,189,964,482,29,21,140,8081,82,6425,683,1187,8,Julio,2018.0
Estación Oriente,13124,369,8,0,5,11248,205,1269,699,63,22,53,13374,79,11106,840,1546,14,Julio,2018.0
Estación Pabellón del Agua EPM,7896,312,10,0,3,6461,255,968,474,52,11,155,8017,49,6404,698,1099,20,Julio,2018.0
Estación Parque Berrío,6381,354,14,1,0,5525,93,704,380,39,9,52,6660,38,5281,542,920,7,Julio,2018.0
Estación Poblado,7613,218,3,0,1,6423,112,846,410,36,8,41,7752,42,6326,644,852,13,Julio,2018.0
Estación San Javier B,16080,526,10,1,2,13374,322,1853,955,85,30,119,16371,129,13189,1470,1930,30,Julio,2018.0
Estación San Javier J,7284,224,9,0,3,6273,102,699,407,34,5,68,7423,29,6156,573,781,10,Julio,2018.0
Estación Santo Domingo,13297,529,14,0,8,11021,355,1588,773,80,31,133,13641,74,10871,1114,1849,14,Julio,2018.0
Estación Suramericana,8976,304,6,0,5,7482,126,1037,585,53,8,86,9158,47,7311,743,1220,17,Julio,2018.0
Estación Universidad,7720,371,12,0,1,6674,126,864,394,36,10,126,7946,32,6434,562,1106,2,Julio,2018.0
Estación Villa Sierra,7834,279,8,0,2,6570,167,859,454,39,34,119,7972,32,6489,602,932,100,Julio,2018.0
Exteriores Ludoteca Casa San Martín,7038,698,79,0,5,6378,172,823,382,31,34,114,7613,93,5808,933,1069,10,Julio,2018.0
Hospital General,23139,1106,67,0,11,18557,521,2971,2030,188,56,249,23947,127,18003,2783,3467,70,Julio,2018.0
Hospital Infantil Concejo de Medellin,10924,531,36,0,5,8715,243,1555,888,71,24,115,11307,74,8415,1634,1430,17,Julio,2018.0
Inspeccion 10 B - Boston,2756,96,2,0,0,2218,36,269,306,20,5,36,2800,18,2154,390,304,6,Julio,2018.0
Inspeccion 9B,1940,85,4,0,0,1719,29,146,114,20,1,72,1944,13,1661,120,247,1,Julio,2018.0
Inspeccion No 6,2551,66,1,0,0,2043,55,252,236,20,12,69,2534,15,2042,271,303,2,Julio,2018.0
La Cruz,5297,212,5,0,4,4274,246,672,276,27,23,55,5405,58,4323,548,645,2,Julio,2018.0
La Esperanza,4843,234,4,0,1,4008,150,642,246,25,11,99,4965,18,3935,567,566,14,Julio,2018.0
La Honda,11684,600,10,0,7,9746,390,1407,642,58,58,198,11961,142,9588,1219,1472,22,Julio,2018.0
Mall Laureles,4069,191,2,0,0,3413,88,397,286,65,13,64,4157,41,3316,456,479,11,Julio,2018.0
Mascerca Belén,4528,154,7,0,2,3455,89,661,414,57,15,121,4537,33,3396,658,622,15,Julio,2018.0
Mascerca Castilla,4819,151,2,0,2,3700,89,619,518,35,13,119,4835,20,3651,713,596,14,Julio,2018.0
Mascerca Floresta,2696,99,3,0,1,2181,68,322,183,34,11,63,2710,26,2164,299,334,2,Julio,2018.0
Mascerca Guayabal,2355,76,1,1,1,1825,66,257,264,18,4,185,2240,9,1823,229,331,51,Julio,2018.0
Mascerca Poblado,4596,234,7,0,4,3625,116,699,337,54,10,114,4706,21,3507,514,816,4,Julio,2018.0
Metrosalud Carpinelo,2669,84,1,0,1,2156,71,345,141,30,12,35,2705,15,2147,285,320,3,Julio,2018.0
Metrosalud La Cruz,1160,59,1,0,2,945,28,142,90,11,6,30,1184,8,920,130,171,1,Julio,2018.0
Metrosalud La Quiebra,2584,171,4,0,0,2208,80,286,140,40,5,29,2701,29,2117,329,309,4,Julio,2018.0
Metrosalud Picachito,5482,378,8,0,2,4421,164,891,345,38,11,66,5779,25,4215,655,990,10,Julio,2018.0
Metrosalud Popular 1,946,35,2,0,0,766,25,120,68,1,3,9,973,1,763,120,99,1,Julio,2018.0
Metrosalud San Blas,3555,142,5,0,0,2684,136,515,321,37,9,51,3617,34,2689,574,434,5,Julio,2018.0
Metrosalud San Javier La Loma,1995,116,1,0,2,1695,67,211,122,13,6,20,2088,6,1652,198,260,4,Julio,2018.0
Metrosalud Santo Domingo,9795,445,10,0,3,8064,212,1279,626,48,24,113,10097,43,7841,980,1416,16,Julio,2018.0
Museo Cementerio San Pedro,424,12,0,0,0,373,6,32,21,2,2,4,431,1,370,30,36,0,Julio,2018.0
Parque Amisura,2113,85,31,0,0,1800,50,217,136,25,1,47,2166,16,1749,209,270,1,Julio,2018.0
Parque Aranjuez,19723,922,27,1,6,16665,341,2265,1246,125,37,148,20428,103,16102,1498,3005,74,Julio,2018.0
Parque Arví,1738,48,0,0,1,1313,55,216,181,16,6,18,1759,10,1325,191,265,6,Julio,2018.0
Parque Belén,16661,568,34,0,5,13909,254,1689,1185,205,26,127,16977,164,13616,1302,2332,18,Julio,2018.0
Parque Belen Los Alpes,10128,401,9,0,2,8192,242,1353,667,68,18,100,10368,72,8036,822,1661,21,Julio,2018.0
Parque Berrio,8061,333,14,0,3,6762,132,925,527,55,10,86,8269,56,6564,649,1182,16,Julio,2018.0
Parque Bicentenario,9096,413,4,0,4,7674,144,1105,529,45,20,104,9263,150,7436,716,1335,30,Julio,2018.0
Parque Bolivar,16386,646,13,3,3,13510,244,1842,1285,147,23,194,16743,114,13121,1348,2548,34,Julio,2018.0
Parque Campo Valdés ,23706,1244,72,0,44,20011,639,2964,1256,145,51,212,24613,241,19390,2046,3581,49,Julio,2018.0
Parque Cerro el Cristo Salvador,8791,377,12,0,2,7554,178,935,447,53,15,100,8995,87,7368,603,1191,20,Julio,2018.0
Parque Cuatro Vientos,5011,386,8,0,3,4298,91,644,346,26,3,39,5344,25,4000,426,966,16,Julio,2018.0
Parque de Boston,11235,445,6,0,8,9022,225,1314,949,155,29,115,11522,57,8828,954,1881,31,Julio,2018.0
Parque de Guadalupe,14596,818,8,0,1,12406,505,1625,729,92,66,138,15139,146,12146,1229,2031,17,Julio,2018.0
Parque de la Pilarica,1377,65,2,0,0,1129,35,170,86,10,14,15,1424,5,1110,103,223,8,Julio,2018.0
Parque de la Vida (Los Colores),2507,102,4,0,3,2058,66,377,87,25,3,46,2551,19,2027,172,406,11,Julio,2018.0
Parque de los Pies Descalzos,7479,285,11,0,6,5729,174,1158,647,55,18,137,7554,90,5633,945,1187,16,Julio,2018.0
Parque del Ajedrez,4726,185,6,0,3,3990,99,549,231,29,22,45,4859,16,3928,314,664,14,Julio,2018.0
Parque del Periodista,13198,685,12,0,9,11395,198,1414,805,77,15,119,13684,101,10923,901,2059,21,Julio,2018.0
Parque El Emperador,4209,305,6,0,9,3660,91,421,233,109,15,158,4325,46,3457,323,738,11,Julio,2018.0
Parque El Triangulo,3414,165,19,0,1,2892,58,427,198,17,7,31,3550,18,2777,181,636,5,Julio,2018.0
Parque Florencia,6654,276,9,0,0,5532,211,750,379,47,20,144,6752,43,5489,500,942,8,Julio,2018.0
Parque Gaitán,11182,345,11,0,2,9217,276,1250,688,82,27,89,11397,54,9166,938,1421,15,Julio,2018.0
Parque Juanes De La Paz,13351,835,16,0,17,11092,389,1645,957,105,31,255,13854,110,10664,1287,2229,39,Julio,2018.0
Parque Kennedy,4950,222,5,0,1,4193,119,609,234,15,8,35,5055,88,4088,354,727,9,Julio,2018.0
Parque La Castellana,3875,274,6,0,2,3163,83,561,293,32,25,150,3994,13,3007,401,740,9,Julio,2018.0
Parque La Matea,4885,259,18,0,1,4144,79,576,297,61,6,78,5071,14,3951,428,756,28,Julio,2018.0
Parque la Milagrosa,11744,561,15,0,5,9704,396,1382,730,74,39,97,12145,83,9572,1024,1713,16,Julio,2018.0
Parque Lleras,14307,526,9,1,3,11659,214,1867,966,108,32,132,14636,78,11369,1266,2177,34,Julio,2018.0
Parque Los Mangos,2734,112,5,0,0,2329,48,288,166,19,1,23,2815,13,2261,181,402,7,Julio,2018.0
Parque Lourdes,3155,167,1,0,0,2521,76,411,246,63,6,57,3247,19,2435,277,594,17,Julio,2018.0
Parque Norte,5927,256,10,0,4,5006,106,594,422,51,18,72,6091,34,4870,434,883,10,Julio,2018.0
Parque Pablo VI,5452,330,5,0,1,4660,156,539,405,18,10,46,5536,206,4484,455,840,9,Julio,2018.0
Parque Pinocho,3385,174,3,0,22,2943,66,341,208,16,10,88,3471,25,2844,230,502,8,Julio,2018.0
Parque Plan Parcial Invatex,4033,150,4,0,1,3321,83,503,247,27,7,40,4118,30,3259,345,574,10,Julio,2018.0
Parque Robledo,8600,298,5,0,10,6948,283,1045,579,36,22,167,8673,73,6948,739,1206,20,Julio,2018.0
Parque San Antonio de Prado,10717,320,7,0,5,8800,267,1228,671,67,16,93,10901,55,8751,909,1373,16,Julio,2018.0
Parque San Joaquín,3692,170,5,0,38,2996,82,445,288,83,11,70,3816,19,2919,297,681,8,Julio,2018.0
Parque Suramericana alta,4316,173,2,0,1,3654,62,374,342,50,10,48,4422,22,3551,423,510,8,Julio,2018.0
Parque Telemedellin,1461,67,33,0,3,1109,45,235,149,19,7,22,1528,14,1066,177,319,2,Julio,2018.0
Parque Tinajitas - Pedregal,11033,570,5,0,3,9246,260,1269,749,59,28,107,11391,113,8963,963,1673,12,Julio,2018.0
Parque Unicentro,2238,100,1,0,5,1932,32,221,146,13,0,20,2304,20,1864,160,315,5,Julio,2018.0
Parque Villa Hermosa,13921,358,23,0,5,11366,293,1619,931,69,29,104,14047,156,11309,1118,1859,21,Julio,2018.0
Pista De Atletismo Alfonso Galvis,5889,270,4,0,2,4703,174,774,460,40,14,67,6049,49,4617,600,934,14,Julio,2018.0
Pista De Bicicross Antonio Roldán Betancur,4339,135,2,1,1,3231,153,557,465,50,22,52,4400,26,3262,545,660,11,Julio,2018.0
Pista de Patinaje Francisco Antonio Zea,8317,459,9,0,2,7015,222,919,555,48,28,79,8650,58,6797,821,1147,22,Julio,2018.0
Placa de Arenilla Aguas Frías,6696,392,11,0,1,5536,231,787,473,52,21,91,6939,70,5388,693,1012,7,Julio,2018.0
Placa Polideportiva la Cristobal,6694,276,13,0,2,5253,182,863,631,40,16,79,6863,43,5172,778,1030,5,Julio,2018.0
Placa Polideportiva Los Tanques,1280,80,1,0,1,1068,43,180,61,9,1,30,1317,15,1028,134,195,5,Julio,2018.0
Plaza Gardel,3630,154,5,0,0,2988,92,421,250,31,7,50,3708,31,2924,341,518,6,Julio,2018.0
Plaza Mayor - Plazoleta Interamericana,3113,113,3,0,2,2449,74,434,247,23,4,45,3160,26,2410,315,501,5,Julio,2018.0
Plazoleta - Institución Universitaria Pascual Bravo – Robledo,3042,92,4,0,0,2502,149,312,138,20,17,68,3056,14,2570,204,359,5,Julio,2018.0
Plazoleta Carlos E. Restrepo,7448,341,18,0,3,6131,120,1042,477,26,14,70,7707,33,5910,656,1223,21,Julio,2018.0
Plazoleta de Banderas,13459,698,14,0,5,10853,352,1784,1055,107,25,166,13922,88,10514,1520,2102,40,Julio,2018.0
Plazoleta de Cisneros,12213,509,14,0,6,10241,228,1359,804,86,24,108,12551,83,9990,1028,1706,18,Julio,2018.0
Plazoleta Estación Metrocable Popular 1,11484,702,13,0,5,9847,320,1351,594,64,28,165,11924,115,9478,960,1739,27,Julio,2018.0
Plazoleta Estación Metroplus Industriales,12915,444,15,0,7,10840,185,1372,869,83,32,213,13072,96,10608,1113,1636,24,Julio,2018.0
Plazoleta la Alpujarra,7486,248,7,0,2,6069,137,822,632,65,18,71,7627,45,5966,696,1067,14,Julio,2018.0
Plazoleta Museo de Antioquia,8469,289,9,0,0,6879,137,961,671,102,17,117,8598,52,6734,736,1288,9,Julio,2018.0
Plazoleta ubicada entre la IE Antonio Derka y la IE Santo Domingo Savio,10702,502,10,0,2,9050,476,1080,513,74,23,197,10933,86,9046,822,1339,9,Julio,2018.0
Plazoleta y parque Cultural del MAMM,2630,105,4,0,2,2164,41,307,195,29,5,27,2700,14,2102,252,385,2,Julio,2018.0
Plazuela San Ignacio,16462,779,19,0,4,13439,275,1982,1397,155,16,163,16961,140,12955,1609,2678,22,Julio,2018.0
Por Mis Derechos Equidad e Inlusión,3914,389,2,0,4,3357,110,428,341,66,7,213,4069,27,3092,623,583,11,Julio,2018.0
Primer Parque de Laureles,6620,335,3,0,5,5469,89,893,453,51,8,71,6839,53,5232,616,1107,8,Julio,2018.0
Secretaría de Movilidad,15146,533,15,1,4,11915,241,1833,1550,140,20,149,15435,115,11634,1522,2530,13,Julio,2018.0
Teatro al aire libre y parque el Pedregal,10237,525,21,0,3,8030,421,1488,624,91,132,202,10511,73,8038,1044,1686,18,Julio,2018.0
Telecentro San Joaquin,845,23,4,0,0,683,14,100,65,10,0,16,848,8,668,84,118,2,Julio,2018.0
Terminal del Sur,26713,881,21,0,119,21009,635,3673,2085,257,75,392,27154,188,20827,2833,4008,66,Julio,2018.0
Tesorería Municipal,5315,202,3,0,3,4335,93,613,406,64,12,54,5447,22,4237,573,704,9,Julio,2018.0
Tiro Con Arco  Unidad Deportiva Andres Escobar,10840,477,18,1,3,8503,350,1611,786,68,21,123,11179,37,8408,824,2092,15,Julio,2018.0
U.D. Alejandro Echavarria,11548,472,18,0,5,9361,356,1560,680,60,26,142,11834,67,9262,975,1766,40,Julio,2018.0
U.D. Campo Amor,9767,391,13,0,1,7741,348,1179,741,149,14,121,9979,72,7692,871,1592,17,Julio,2018.0
Unidad Deportiva Antonio Nariño,9715,344,5,0,7,7953,361,1131,556,41,29,76,9922,73,7985,810,1261,15,Julio,2018.0
Unidad Deportiva Barrio Cristóbal,5344,401,6,0,5,4314,173,767,444,41,17,135,5590,31,4099,641,1000,16,Julio,2018.0
Unidad Deportiva doce de Octubre,7578,340,12,0,2,6210,243,949,446,57,27,73,7808,51,6125,595,1197,15,Julio,2018.0
Unidad Deportiva El Raizal,11226,575,21,0,3,9402,298,1454,591,43,37,119,11571,135,9142,864,1804,15,Julio,2018.0
Unidad deportiva Granizal,10164,600,8,0,8,8326,471,1283,563,75,62,420,10278,82,8251,1012,1495,22,Julio,2018.0
Unidad deportiva José René Higuita,12592,579,30,0,4,10370,383,1473,855,90,34,162,12959,84,10184,1108,1885,28,Julio,2018.0
Unidad Deportiva Maria Luisa Calle,3620,150,1,0,2,2754,153,504,317,33,12,39,3716,18,2770,362,633,8,Julio,2018.0
Unidad Deportiva Miraflores,10080,628,18,0,9,8144,358,1449,695,65,24,150,10532,53,7875,830,2009,21,Julio,2018.0
Unidad deportiva San Blas,9037,491,10,0,2,7677,212,1069,498,63,21,138,9345,57,7410,663,1411,56,Julio,2018.0
Unidad Deportiva Tricentenario,8320,405,28,0,3,6713,216,1209,540,52,26,91,8631,34,6531,727,1482,16,Julio,2018.0
Unidad integral 6,3486,123,3,0,2,2938,65,327,245,24,15,67,3528,19,2890,295,426,3,Julio,2018.0
UPJ (UNIDAD PERMANENTE DE JUSTICIA),7872,298,7,0,3,6100,192,1139,647,54,48,197,7927,56,6038,934,1199,9,Julio,2018.0
UPSS BELÉN “Héctor Abad Gómez”,9843,416,5,0,4,7670,219,1401,838,115,25,111,10095,62,7498,1453,1297,20,Julio,2018.0
UPSS CASTILLA “Jaime Tobon Arbelaez”,14774,653,16,0,2,11666,375,1864,1338,173,29,226,15138,81,11393,2205,1818,29,Julio,2018.0
UPSS DOCE DE OCTUBRE “Luis Carlos Galán Sarmiento”,7171,253,13,0,1,5645,174,901,572,131,15,101,7301,36,5572,987,868,11,Julio,2018.0
"\UPSS MANRIQUE \""\""Hermenegildo de Fex\""\""\""""",14627,841,17,1,9,11753,336,1976,1293,112,25,190,15180,125,11269,2275,1918,33,Julio,2018.0
UPSS Nuevo Occidente,14852,842,22,0,35,12213,333,1940,1108,117,40,277,15295,179,11763,1980,1986,22,Julio,2018.0
UPSS SAN CRISTÓBAL,8993,403,10,0,3,7105,188,1338,671,86,21,132,9232,45,6906,1256,1230,17,Julio,2018.0
UPSS SAN JAVIER “Jesús Pelaez Botero”,7928,312,6,0,3,6361,189,1034,594,50,21,64,8143,42,6267,1079,892,11,Julio,2018.0
"UPSS SANTA CRUZ “Víctor Cárdenas Jaramillo\\""""",10258,448,15,0,2,8433,226,1321,650,71,22,82,10577,64,8227,1396,1068,32,Julio,2018.0
"\Velodromo Martín \""\""Cochise\""\"" Rodríguez\""""",1264,55,1,0,2,1022,23,183,84,8,2,27,1290,5,989,115,217,1,Julio,2018.0
Vereda La Mazo,1776,49,2,0,0,1414,41,243,98,20,11,61,1715,51,1413,179,231,4,Julio,2018.0
